chr	start	end	position	LocusID	LeadVariant_P_value	variant	variant_P_value	LeadSNP_PosteriorProb	PosteriorProb	CredibleSet	Trait	Coding	CodingVariantGene	SpliceSite	SpliceSiteVariantGene	Promoter	PromoterVariantGene	Source
chr12	111535554	111535554	111535554	rs597808	1.4e-20	rs597808	1.4e-20	0.996121822464913	0.996121822464913	invnorm_max_lv-rs597808	invnorm_max_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	111569952	111569952	111569952	rs653178	2.4e-20	rs653178	2.4e-20	0.993535579685165	0.993535579685165	invnorm_max_lv-rs653178	invnorm_max_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	111634620	111634620	111634620	rs11065987	5.9e-21	rs11065987	5.9e-21	0.998005101223138	0.998005101223138	invnorm_max_lv-rs11065987	invnorm_max_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	111645358	111645358	111645358	rs11065991	9.9e-21	rs11065991	9.9e-21	0.99660366467196	0.99660366467196	invnorm_max_lv-rs11065991	invnorm_max_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	65958046	65958046	65958046	rs1351394	5.1e-13	rs1351394	5.1e-13	0.955957710621557	0.955957710621557	invnorm_max_lv-rs1351394	invnorm_max_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	65965972	65965972	65965972	rs8756	3.3e-13	rs8756	3.3e-13	0.963719477481645	0.963719477481645	invnorm_max_lv-rs8756	invnorm_max_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	65978100	65978100	65978100	rs7968682	3.7e-13	rs7968682	3.7e-13	0.961309015832363	0.961309015832363	invnorm_max_lv-rs7968682	invnorm_max_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	65980467	65980467	65980467	rs7312464	2.5e-13	rs7312464	2.5e-13	0.970124891662234	0.970124891662234	invnorm_max_lv-rs7312464	invnorm_max_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	65982311	65982311	65982311	rs7306710	2.1e-13	rs7306710	2.1e-13	0.974774419927341	0.974774419927341	invnorm_max_lv-rs7306710	invnorm_max_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	65982422	65982422	65982422	rs7136054	1.7e-13	rs7136054	1.7e-13	0.97650081932961	0.97650081932961	invnorm_max_lv-rs7136054	invnorm_max_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr16	2101350	2101350	2101350	rs141568123	3.3e-10	rs141568123	3.3e-10	0.94748899934345	0.94748899934345	invnorm_max_lv-rs141568123	invnorm_max_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr16	2109995	2109995	2109995	rs9935526	2.2e-10	rs9935526	2.2e-10	0.970529273669802	0.970529273669802	invnorm_max_lv-rs9935526	invnorm_max_lv	TRUE	PKD1	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr6	43789126	43789126	43789126	rs2146324	1.3e-08	rs2146324	1.3e-08	0.958408705234386	0.958408705234386	invnorm_max_lv-rs2146324	invnorm_max_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr10	110784367	110784367	110784367	rs189569984	9.8e-12	rs189569984	9.8e-12	0.99867132612647	0.99867132612647	invnorm_min_lv-rs189569984	invnorm_min_lv	TRUE	RBM20	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr10	119656173	119656173	119656173	rs72840788	7.9e-31	rs72840788	7.9e-31	0.999946636601381	0.999946636601381	invnorm_min_lv-rs72840788	invnorm_min_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr10	119659975	119659975	119659975	rs17099139	3.5e-28	rs17099139	3.5e-28	0.999477530597237	0.999477530597237	invnorm_min_lv-rs17099139	invnorm_min_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr10	119663324	119663324	119663324	rs61869036	1.9e-30	rs61869036	1.9e-30	0.9999275335655	0.9999275335655	invnorm_min_lv-rs61869036	invnorm_min_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr10	119665303	119665303	119665303	rs375034445	4e-30	rs375034445	4e-30	0.999902564575185	0.999902564575185	invnorm_min_lv-rs375034445	invnorm_min_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr10	119665450	119665450	119665450	rs117550412	2.1e-30	rs117550412	2.1e-30	0.999924601359872	0.999924601359872	invnorm_min_lv-rs117550412	invnorm_min_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr10	119666800	119666800	119666800	rs7095308	4.9e-28	rs7095308	4.9e-28	0.99941442015495	0.99941442015495	invnorm_min_lv-rs7095308	invnorm_min_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr10	119667372	119667372	119667372	rs17617337	2.3e-30	rs17617337	2.3e-30	0.999922685370348	0.999922685370348	invnorm_min_lv-rs17617337	invnorm_min_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr10	119670121	119670121	119670121	rs2234962	1.3e-29	rs2234962	1.3e-29	0.999845584873748	0.999845584873748	invnorm_min_lv-rs2234962	invnorm_min_lv	TRUE	BAG3	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr10	119674163	119674163	119674163	rs72842207	5.9e-30	rs72842207	5.9e-30	0.999885828300656	0.999885828300656	invnorm_min_lv-rs72842207	invnorm_min_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	178525015	178525015	178525015	rs6755784	5.7e-20	rs6755784	5.7e-20	0.979051478983173	0.979051478983173	invnorm_min_lv-rs6755784	invnorm_min_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	178584184	178584184	178584184	rs16866400	1.2e-21	rs16866400	1.2e-21	0.999645170258581	0.999645170258581	invnorm_min_lv-rs16866400	invnorm_min_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	178649706	178649706	178649706	rs2562845	4.3e-22	rs2562845	4.3e-22	0.9998720582096	0.9998720582096	invnorm_min_lv-rs2562845	invnorm_min_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	178693639	178693639	178693639	rs2042995	2.7e-21	rs2042995	2.7e-21	0.999213874333332	0.999213874333332	invnorm_min_lv-rs2042995	invnorm_min_lv	TRUE	TTN	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr22	23827009	23827009	23827009	rs2267038	9e-15	rs2267038	9e-15	0.973673343426149	0.973673343426149	invnorm_min_lv-rs2267038	invnorm_min_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr8	124845117	124845117	124845117	rs12541595	1.6e-20	rs12541595	1.6e-20	0.997260141791449	0.997260141791449	invnorm_min_lv-rs12541595	invnorm_min_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr8	124846279	124846279	124846279	rs72716972	2.1e-20	rs72716972	2.1e-20	0.996819884398613	0.996819884398613	invnorm_min_lv-rs72716972	invnorm_min_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr8	124847575	124847575	124847575	rs35006907	1e-20	rs35006907	1e-20	0.997539788184772	0.997539788184772	invnorm_min_lv-rs35006907	invnorm_min_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr8	124847608	124847608	124847608	rs34866937	1.1e-20	rs34866937	1.1e-20	0.997485869705518	0.997485869705518	invnorm_min_lv-rs34866937	invnorm_min_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr8	124881909	124881909	124881909	rs28455756	4.5e-18	rs28455756	4.5e-18	0.937555296890094	0.937555296890094	invnorm_min_lv-rs28455756	invnorm_min_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr13	22291470	22291470	22291470	rs12857403	2e-13	rs12857403	2e-13	0.972254983873012	0.972254983873012	invnorm_pa_ao-rs12857403	invnorm_pa_ao	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr13	22297307	22297307	22297307	rs7994761	9.2e-14	rs7994761	9.2e-14	0.984416677555802	0.984416677555802	invnorm_pa_ao-rs7994761	invnorm_pa_ao	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr13	22302986	22302986	22302986	rs12876505	2.6e-13	rs12876505	2.6e-13	0.952480590145653	0.952480590145653	invnorm_pa_ao-rs12876505	invnorm_pa_ao	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr13	22305912	22305912	22305912	rs34348807	2.4e-13	rs34348807	2.4e-13	0.956286385548704	0.956286385548704	invnorm_pa_ao-rs34348807	invnorm_pa_ao	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr13	22310385	22310385	22310385	rs1507721	1.7e-13	rs1507721	1.7e-13	0.96892892520533	0.96892892520533	invnorm_pa_ao-rs1507721	invnorm_pa_ao	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr15	71318496	71318496	71318496	rs11855326	5.5e-08	rs11855326	5.5e-08	0.900439281388454	0.900439281388454	invnorm_pa_ao-rs11855326	invnorm_pa_ao	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr1	99580690	99580690	99580690	rs6702619	2.6e-09	rs6702619	2.6e-09	0.946929769598344	0.946929769598344	invnorm_pa_ao-rs6702619	invnorm_pa_ao	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	19510984	19510984	19510984	rs1649371	7.5e-17	rs1649371	7.5e-17	0.949156834818617	0.949156834818617	invnorm_pa_ao-rs1649371	invnorm_pa_ao	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	19537255	19537255	19537255	rs4493218	4e-17	rs4493218	4e-17	0.968159447656385	0.968159447656385	invnorm_pa_ao-rs4493218	invnorm_pa_ao	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	19537950	19537950	19537950	rs7600124	3.2e-17	rs7600124	3.2e-17	0.97167488877248	0.97167488877248	invnorm_pa_ao-rs7600124	invnorm_pa_ao	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr14	23392602	23392602	23392602	rs365990	1.8e-11	rs365990	1.8e-11	0.999049250853571	0.999049250853571	invnorm_rafac-rs365990	invnorm_rafac	TRUE	MYH6	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr14	23394593	23394593	23394593	rs445754	1.3e-10	rs445754	1.3e-10	0.992991691397529	0.992991691397529	invnorm_rafac-rs445754	invnorm_rafac	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr14	23395595	23395595	23395595	rs422068	7.8e-12	rs422068	7.8e-12	0.999562294924255	0.999562294924255	invnorm_rafac-rs422068	invnorm_rafac	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr14	23396676	23396676	23396676	rs452036	4.4e-12	rs452036	4.4e-12	0.999750782806237	0.999750782806237	invnorm_rafac-rs452036	invnorm_rafac	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr14	23397504	23397504	23397504	rs412768	8.3e-13	rs412768	8.3e-13	0.999954633482405	0.999954633482405	invnorm_rafac-rs412768	invnorm_rafac	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr5	173217014	173217014	173217014	rs12652726	2.1e-10	rs12652726	2.1e-10	0.901954646966692	0.901954646966692	invnorm_rafac-rs12652726	invnorm_rafac	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	4275678	4275678	4275678	rs76895963	3.3e-11	rs76895963	3.3e-11	0.999923555971725	0.999923555971725	invnorm_ramax_area-rs76895963	invnorm_ramax_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	47014404	47014404	47014404	rs533030436	1.2e-09	rs533030436	1.2e-09	0.95313279626647	0.95313279626647	invnorm_ramax_area-rs533030436	invnorm_ramax_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	47147555	47147555	47147555	rs117778193	1.2e-09	rs117778193	1.2e-09	0.963606596079142	0.963606596079142	invnorm_ramax_area-rs117778193	invnorm_ramax_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	47170506	47170506	47170506	rs11570470	8.3e-11	rs11570470	8.3e-11	0.994517387614844	0.994517387614844	invnorm_ramax_area-rs11570470	invnorm_ramax_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	47203436	47203436	47203436	rs117154502	3.1e-11	rs117154502	3.1e-11	0.997384086221773	0.997384086221773	invnorm_ramax_area-rs117154502	invnorm_ramax_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	47212712	47212712	47212712	rs78033733	3.8e-11	rs78033733	3.8e-11	0.997079728947079	0.997079728947079	invnorm_ramax_area-rs78033733	invnorm_ramax_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	47147555	47147555	47147555	rs117778193	4.5e-10	rs117778193	4.5e-10	0.942826210138124	0.942826210138124	invnorm_ramin_area-rs117778193	invnorm_ramin_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	47170506	47170506	47170506	rs11570470	3.4e-11	rs11570470	3.4e-11	0.989963317573108	0.989963317573108	invnorm_ramin_area-rs11570470	invnorm_ramin_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	47203436	47203436	47203436	rs117154502	2.3e-11	rs117154502	2.3e-11	0.992071361139826	0.992071361139826	invnorm_ramin_area-rs117154502	invnorm_ramin_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	47212712	47212712	47212712	rs78033733	2.5e-11	rs78033733	2.5e-11	0.991780552842102	0.991780552842102	invnorm_ramin_area-rs78033733	invnorm_ramin_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	178784734	178784734	178784734	rs59532220	3.7e-15	rs59532220	3.7e-15	0.980850910767996	0.980850910767996	invnorm_ramin_area-rs59532220	invnorm_ramin_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	178802103	178802103	178802103	rs68003004	7.1e-15	rs68003004	7.1e-15	0.971781675802643	0.971781675802643	invnorm_ramin_area-rs68003004	invnorm_ramin_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	178860510	178860510	178860510	rs114100829	1.5e-14	rs151041685	2e-14	0.949082098891561	0.937617387244368	invnorm_ramin_area-rs114100829	invnorm_ramin_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	178860510	178860510	178860510	rs114412892	1.7e-14	rs151041685	2e-14	0.943854423651466	0.937617387244368	invnorm_ramin_area-rs114412892	invnorm_ramin_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	178860510	178860510	178860510	rs151041685	2e-14	rs151041685	2e-14	0.937617387244368	0.937617387244368	invnorm_ramin_area-rs151041685	invnorm_ramin_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	178931994	178931994	178931994	rs114100829	1.5e-14	rs114412892	1.7e-14	0.949082098891561	0.943854423651466	invnorm_ramin_area-rs114100829	invnorm_ramin_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	178931994	178931994	178931994	rs114412892	1.7e-14	rs114412892	1.7e-14	0.943854423651466	0.943854423651466	invnorm_ramin_area-rs114412892	invnorm_ramin_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	178931994	178931994	178931994	rs151041685	2e-14	rs114412892	1.7e-14	0.937617387244368	0.943854423651466	invnorm_ramin_area-rs151041685	invnorm_ramin_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	178934849	178934849	178934849	rs114100829	1.5e-14	rs114100829	1.5e-14	0.949082098891561	0.949082098891561	invnorm_ramin_area-rs114100829	invnorm_ramin_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	178934849	178934849	178934849	rs114412892	1.7e-14	rs114100829	1.5e-14	0.943854423651466	0.949082098891561	invnorm_ramin_area-rs114412892	invnorm_ramin_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	178934849	178934849	178934849	rs151041685	2e-14	rs114100829	1.5e-14	0.937617387244368	0.949082098891561	invnorm_ramin_area-rs151041685	invnorm_ramin_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr5	173220844	173220844	173220844	rs954635	5.1e-13	rs954635	5.1e-13	0.994424629025156	0.994424629025156	invnorm_ramin_area-rs954635	invnorm_ramin_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr5	173235021	173235021	173235021	rs2277923	1.1e-13	rs2277923	1.1e-13	0.997830438548695	0.997830438548695	invnorm_ramin_area-rs2277923	invnorm_ramin_area	TRUE	NKX2-5	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr5	173237160	173237160	173237160	rs6882776	1.2e-13	rs6882776	1.2e-13	0.997503318221819	0.997503318221819	invnorm_ramin_area-rs6882776	invnorm_ramin_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr5	173242768	173242768	173242768	rs10071514	2.9e-13	rs10071514	2.9e-13	0.995987544451364	0.995987544451364	invnorm_ramin_area-rs10071514	invnorm_ramin_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr5	173243608	173243608	173243608	rs35564079	1.4e-12	rs35564079	1.4e-12	0.986959474326966	0.986959474326966	invnorm_ramin_area-rs35564079	invnorm_ramin_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr5	173243742	173243742	173243742	rs6891790	2.5e-13	rs6891790	2.5e-13	0.996267625176278	0.996267625176278	invnorm_ramin_area-rs6891790	invnorm_ramin_area	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	41918292	41918292	41918292	rs2374381	6.2e-09	rs2374381	6.2e-09	0.914996045369486	0.914996045369486	invnorm_RVEDV_LVEDV_ratio-rs2374381	invnorm_RVEDV_LVEDV_ratio	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	41918292	41918292	41918292	rs66555277	8e-09	rs2374381	6.2e-09	0.902093678437551	0.914996045369486	invnorm_RVEDV_LVEDV_ratio-rs66555277	invnorm_RVEDV_LVEDV_ratio	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	41919220	41919220	41919220	rs2374381	6.2e-09	rs66555277	8e-09	0.914996045369486	0.902093678437551	invnorm_RVEDV_LVEDV_ratio-rs2374381	invnorm_RVEDV_LVEDV_ratio	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	41919220	41919220	41919220	rs66555277	8e-09	rs66555277	8e-09	0.902093678437551	0.902093678437551	invnorm_RVEDV_LVEDV_ratio-rs66555277	invnorm_RVEDV_LVEDV_ratio	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr7	136951513	136951513	136951513	rs112206296	4.3e-09	rs112206296	4.3e-09	0.996764550442046	0.996764550442046	invnorm_RVEDV_LVEDV_ratio-rs112206296	invnorm_RVEDV_LVEDV_ratio	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	111427245	111427245	111427245	rs7310615	3.8e-17	rs7310615	3.8e-17	0.999690413345657	0.999690413345657	invnorm_RVEDV-rs7310615	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	111446804	111446804	111446804	rs3184504	4e-18	rs3184504	4e-18	0.999967015972996	0.999967015972996	invnorm_RVEDV-rs3184504	invnorm_RVEDV	TRUE	SH2B3	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	111466567	111466567	111466567	rs4766578	1.5e-17	rs4766578	1.5e-17	0.999858757000907	0.999858757000907	invnorm_RVEDV-rs4766578	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	111469627	111469627	111469627	rs35350651	1.4e-17	rs35350651	1.4e-17	0.99986504162003	0.99986504162003	invnorm_RVEDV-rs35350651	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	111472415	111472415	111472415	rs10774625	2e-17	rs10774625	2e-17	0.999802111441716	0.999802111441716	invnorm_RVEDV-rs10774625	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	111535554	111535554	111535554	rs597808	5.6e-18	rs597808	5.6e-18	0.999951541790083	0.999951541790083	invnorm_RVEDV-rs597808	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	111621753	111621753	111621753	rs11065979	7.3e-16	rs11065979	7.3e-16	0.992064249143651	0.992064249143651	invnorm_RVEDV-rs11065979	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	4275678	4275678	4275678	rs76895963	9.6e-09	rs76895963	9.6e-09	0.982170484931993	0.982170484931993	invnorm_RVEDV-rs76895963	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	65933852	65933852	65933852	rs10878349	5.2e-13	rs10878349	5.2e-13	0.958864510726904	0.958864510726904	invnorm_RVEDV-rs10878349	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	65949620	65949620	65949620	rs1038196	9.8e-13	rs1038196	9.8e-13	0.941048730365752	0.941048730365752	invnorm_RVEDV-rs1038196	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	65949620	65949620	65949620	rs1351394	1.6e-12	rs1038196	9.8e-13	0.91913529783117	0.941048730365752	invnorm_RVEDV-rs1351394	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	65949620	65949620	65949620	rs7306710	2.2e-12	rs1038196	9.8e-13	0.916862756317132	0.941048730365752	invnorm_RVEDV-rs7306710	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	65958046	65958046	65958046	rs1038196	9.8e-13	rs1351394	1.6e-12	0.941048730365752	0.91913529783117	invnorm_RVEDV-rs1038196	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	65958046	65958046	65958046	rs1351394	1.6e-12	rs1351394	1.6e-12	0.91913529783117	0.91913529783117	invnorm_RVEDV-rs1351394	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	65958046	65958046	65958046	rs7306710	2.2e-12	rs1351394	1.6e-12	0.916862756317132	0.91913529783117	invnorm_RVEDV-rs7306710	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	65982311	65982311	65982311	rs1038196	9.8e-13	rs7306710	2.2e-12	0.941048730365752	0.916862756317132	invnorm_RVEDV-rs1038196	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	65982311	65982311	65982311	rs1351394	1.6e-12	rs7306710	2.2e-12	0.91913529783117	0.916862756317132	invnorm_RVEDV-rs1351394	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	65982311	65982311	65982311	rs7306710	2.2e-12	rs7306710	2.2e-12	0.916862756317132	0.916862756317132	invnorm_RVEDV-rs7306710	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	46890164	46890164	46890164	rs75230966	8.8e-11	rs75230966	8.8e-11	0.993494825777818	0.993494825777818	invnorm_RVEDV-rs75230966	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	46939827	46939827	46939827	rs11874	1.5e-10	rs11874	1.5e-10	0.990492061940442	0.990492061940442	invnorm_RVEDV-rs11874	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	46958746	46958746	46958746	rs17677363	6.3e-11	rs17677363	6.3e-11	0.995688016930829	0.995688016930829	invnorm_RVEDV-rs17677363	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	46969002	46969002	46969002	rs76774446	7.2e-11	rs76774446	7.2e-11	0.99514571289925	0.99514571289925	invnorm_RVEDV-rs76774446	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	47014404	47014404	47014404	rs533030436	3.6e-10	rs533030436	3.6e-10	0.975761385696687	0.975761385696687	invnorm_RVEDV-rs533030436	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	47051396	47051396	47051396	rs1056064	2.6e-11	rs1056064	2.6e-11	0.997027497331399	0.997027497331399	invnorm_RVEDV-rs1056064	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	47060667	47060667	47060667	rs145153053	1.1e-10	rs145153053	1.1e-10	0.988905417853239	0.988905417853239	invnorm_RVEDV-rs145153053	invnorm_RVEDV	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr3	123386272	123386272	123386272	rs55968914	1.4e-10	rs62262391	1.9e-10	0.931315554016791	0.916658891610652	invnorm_RVEF_LVEF_ratio-rs55968914	invnorm_RVEF_LVEF_ratio	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr3	123386272	123386272	123386272	rs59107033	2e-10	rs62262391	1.9e-10	0.912150754018483	0.916658891610652	invnorm_RVEF_LVEF_ratio-rs59107033	invnorm_RVEF_LVEF_ratio	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr3	123386272	123386272	123386272	rs62262391	1.9e-10	rs62262391	1.9e-10	0.916658891610652	0.916658891610652	invnorm_RVEF_LVEF_ratio-rs62262391	invnorm_RVEF_LVEF_ratio	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr3	123386796	123386796	123386796	rs55968914	1.4e-10	rs59107033	2e-10	0.931315554016791	0.912150754018483	invnorm_RVEF_LVEF_ratio-rs55968914	invnorm_RVEF_LVEF_ratio	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr3	123386796	123386796	123386796	rs59107033	2e-10	rs59107033	2e-10	0.912150754018483	0.912150754018483	invnorm_RVEF_LVEF_ratio-rs59107033	invnorm_RVEF_LVEF_ratio	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr3	123386796	123386796	123386796	rs62262391	1.9e-10	rs59107033	2e-10	0.916658891610652	0.912150754018483	invnorm_RVEF_LVEF_ratio-rs62262391	invnorm_RVEF_LVEF_ratio	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
